LogQ(1),age(2),Tot[O]+12(3),gas[O]+12(4),Tot[Fe](5),gas[Fe](6),LogP/k(7),[NII]/Ha(8),[NII]+/Ha(9),[SII]+/Ha(10),[NII]/[OII]+(11),[NII]+/[OII]+(12),[NII]/[SII]+(13),[NII]+/[SII]+(14),[OII]+/Hb(15),[OIII]/Hb(16),[OIII]+/Hb(17),[OIII]/[OII]+(18),[OIII]+/[OII]+(19),[OIII]/[SII]+(20),[OIII]+/[SII]+(21),4363/[OIII](22),4363/[OIII]+(23),[OI]/[OII]+(24),[OII]+/[SII]+(25),R23(26),S23(27),6716/6731(28),3729/3726(29),Hbeta_abs(30),HBeta(31),Rout(32),Rmax(33),Remp(34),[NII]+/Hb(35),Ha/Hb(36)
 7.0000, 32.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2683, -0.1413, -0.4577, -0.6512, -0.5241,  0.1893,  0.3164,  0.8417, -0.0043,  0.1248, -0.8460, -0.7170, -0.0055,  0.1235, -2.0820, -2.2111, -1.5655,  0.8405,  0.9180,  0.3494,  0.1426,  0.1416, 1296430340368957390372995072.0000, 2733220000000000268291428699839922176.0000, 2766666666666666.5000, 31900000000000000000.0000, 31070000000000000000.0000,  0.3177,  0.4589
 7.0000, 32.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.0818,  0.0453, -0.2751, -0.5028, -0.3757,  0.1934,  0.3204,  0.8830, -0.0306,  0.0984, -0.9136, -0.7846, -0.2175, -0.0884, -2.3991, -2.5281, -1.4672,  0.6961,  0.9490,  0.5555,  0.1389,  0.1351, 1299079054072948486395920384.0000, 2740029999999999931457948725922496512.0000, 2766666666666666.5000, 32080000000000000000.0000, 31250000000000000000.0000,  0.5073,  0.4620
 7.0000, 32.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.0843,  0.0428, -0.2522, -0.2892, -0.1621,  0.1680,  0.2950,  0.6746, -0.2289, -0.0999, -0.9035, -0.7745, -0.4464, -0.3174,    -inf,    -inf, -1.3434,  0.4571,  0.7421,  0.5966,  0.1320,  0.1248, 1325171848782911994102546432.0000, 2798260000000000039194078561953644544.0000, 2766666666666666.5000, 32550000000000000000.0000, 31720000000000000000.0000,  0.5125,  0.4697
 7.0000, 100.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0078, -0.8808, -1.2287, -0.7469, -0.6198,  0.2208,  0.3479,  0.2037, -0.7770, -0.6480, -0.9808, -0.8517, -0.0130,  0.1160, -1.8417, -1.9708, -1.7341,  0.9677,  0.2609, -0.4290,  0.1439,  0.1457, 604091822444133318968475648.0000, 1224649999999999958395926315865735168.0000, 2733333333333333.5000, 21330000000000000000.0000, 20510000000000000000.0000, -0.4161,  0.4647
 7.0000, 100.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4576, -0.3305, -0.7049, -0.6830, -0.5559,  0.2473,  0.3744,  0.6839, -0.4973, -0.3682, -1.1811, -1.0521, -0.2509, -0.1218, -1.9683, -2.0973, -1.7632,  0.9303,  0.7208,  0.0952,  0.1425,  0.1433, 775719866243073730309783552.0000, 1596550000000000051545184698030358528.0000, 2733333333333333.5000, 24460000000000000000.0000, 23640000000000000000.0000,  0.1280,  0.4585
 7.0000, 100.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2787, -0.1517, -0.4863, -0.5932, -0.4661,  0.2076,  0.3347,  0.7728, -0.3724, -0.2434, -1.1452, -1.0161, -0.3444, -0.2154, -2.1517, -2.2808, -1.6875,  0.8008,  0.8127,  0.2944,  0.1407,  0.1398, 574885067975087462776045568.0000, 1163530000000000060781383873757970432.0000, 2733333333333333.5000, 21040000000000000000.0000, 20220000000000000000.0000,  0.3067,  0.4583
 7.0000, 100.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.1631, -0.0360, -0.3575, -0.3983, -0.2712,  0.1944,  0.3215,  0.7001, -0.5090, -0.3799, -1.2091, -1.0800, -0.6164, -0.4873,    -inf,    -inf, -1.5686,  0.5927,  0.7348,  0.4462,  0.1350,  0.1308, 673776895267034586706608128.0000, 1376589999999999936533682372722294784.0000, 2733333333333333.5000, 22840000000000000000.0000, 22020000000000000000.0000,  0.4289,  0.4649
 7.0000, 100.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.2257, -0.0987, -0.3678, -0.1507, -0.0237,  0.1420,  0.2691,  0.3989, -0.7464, -0.6173, -1.1453, -1.0162, -0.8525, -0.7235,    -inf,    -inf, -1.4040,  0.2927,  0.4388,  0.4467,  0.1256,  0.1178, 626958314733329149486694400.0000, 1276000000000000020481872098800697344.0000, 2733333333333333.5000, 22060000000000000000.0000, 21240000000000000000.0000,  0.3752,  0.4739
 7.5000,  1.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.2647, -1.1376, -1.4856, -0.8650, -0.7380,  0.2209,  0.3480,  0.0659,  0.0699,  0.1989,  0.0040,  0.1331,  1.0900,  1.2190, -1.7335, -1.8625, -1.8118,  1.0860,  0.4385, -0.4319,  0.1445,  0.1472, 942661900511049264803086336.0000, 61891799999999997962831542573382762496.0000, 8700000000000000.0000, 84540000000000000000.0000, 81930000000000000000.0000, -0.6721,  0.4655
 7.5000,  1.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.7053, -0.5782, -0.9800, -0.8036, -0.6766,  0.2747,  0.4018,  0.5553,  0.4581,  0.5872, -0.0972,  0.0319,  0.9812,  1.1102, -1.9025, -2.0315, -1.8492,  1.0784,  0.8725,  0.0794,  0.1434,  0.1446, 897192626416370521760333824.0000, 58868700000000001923760638221109690368.0000, 8700000000000000.0000, 83970000000000000000.0000, 81360000000000000000.0000, -0.1213,  0.4569
 7.5000,  1.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.5055, -0.3784, -0.8158, -0.6976, -0.5705,  0.3103,  0.4374,  0.6495,  0.4265,  0.5555, -0.2230, -0.0940,  0.7848,  0.9139, -2.1471, -2.2761, -1.8428,  1.0079,  0.9061,  0.2385,  0.1413,  0.1402, 859715859511343882585505792.0000, 56325599999999996247812182339940777984.0000, 8700000000000000.0000, 82670000000000000000.0000, 80060000000000000000.0000,  0.0790,  0.4575
 7.5000,  1.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.3825, -0.2554, -0.7427, -0.4367, -0.3096,  0.3603,  0.4874,  0.5211, -0.0660,  0.0630, -0.5872, -0.4581,  0.2098,  0.3389, -2.6853, -2.8144, -1.8942,  0.7970,  0.6509,  0.3158,  0.1324,  0.1275, 758219432962214190764785664.0000, 49389899999999999626283083199500255232.0000, 8666666666666667.0000, 78000000000000000000.0000, 75400000000000000000.0000,  0.2115,  0.4669
 7.5000,  1.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.4539, -0.3269, -0.7432, -0.0586,  0.0684,  0.2893,  0.4163,  0.0829, -1.1783, -1.0493, -1.2612, -1.1322, -0.9133, -0.7843,    -inf,    -inf, -1.7367,  0.3479,  0.1138,  0.2448,  0.1185,  0.1090, 638511749347258416505028608.0000, 41221799999999997972916423116386729984.0000, 8666666666666667.0000, 71720000000000000000.0000, 69120000000000000000.0000,  0.1514,  0.4782
 7.5000,  3.2000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.2245, -1.0975, -1.4757, -0.8599, -0.7328,  0.2512,  0.3783,  0.0976,  0.0212,  0.1503, -0.0764,  0.0526,  1.0347,  1.1637, -1.7450, -1.8740, -1.9100,  1.1111,  0.4258, -0.4345,  0.1441,  0.1470, 809361501484462074750828544.0000, 52757899999999995444648683187315146752.0000, 8666666666666667.0000, 78530000000000000000.0000, 75930000000000000000.0000, -0.6352,  0.4623
 7.5000,  3.2000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.6896, -0.5626, -0.9787, -0.7887, -0.6616,  0.2890,  0.4161,  0.5550,  0.3734,  0.5025, -0.1816, -0.0525,  0.8961,  1.0252, -1.9383, -2.0673, -1.9288,  1.0777,  0.8306,  0.0612,  0.1428,  0.1440, 653956787853883227068432384.0000, 42208100000000002194212566445865304064.0000, 8633333333333333.0000, 71550000000000000000.0000, 68960000000000000000.0000, -0.1066,  0.4560
 7.5000,  3.2000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.5174, -0.3903, -0.8077, -0.6734, -0.5463,  0.2903,  0.4174,  0.6141,  0.3307,  0.4597, -0.2834, -0.1544,  0.6803,  0.8094, -2.1996, -2.3286, -1.8892,  0.9637,  0.8447,  0.2122,  0.1403,  0.1392, 535397596262701402299564032.0000, 34164100000000002108579045294584365056.0000, 8633333333333333.0000, 64900000000000000000.0000, 62310000000000000000.0000,  0.0678,  0.4581
 7.5000,  3.2000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.4297, -0.3026, -0.6926, -0.3664, -0.2393,  0.2630,  0.3900,  0.4054, -0.1446, -0.0155, -0.5499, -0.4209,  0.0794,  0.2085, -2.7840, -2.9130, -1.8951,  0.6294,  0.5451,  0.2713,  0.1303,  0.1250, 390471426140143664385490944.0000, 24403200000000002320627454602752557056.0000, 8533333333333333.0000, 55460000000000000000.0000, 52900000000000000000.0000,  0.1660,  0.4686
 7.5000,  3.2000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.6131, -0.4860, -0.7716,  0.0385,  0.1655,  0.1586,  0.2856, -0.1700, -0.9501, -0.8211, -0.7801, -0.6511, -0.6600, -0.5310,    -inf,    -inf, -1.6213,  0.1201, -0.0825,  0.1347,  0.1138,  0.1032, 281913914673844289596817408.0000, 17187700000000000073427360242217254912.0000, 8500000000000000.0000, 47260000000000000000.0000, 44710000000000000000.0000, -0.0045,  0.4815
 7.5000, 10.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.2533, -1.1262, -1.4598, -0.8557, -0.7286,  0.2065,  0.3336,  0.0661,  0.0485,  0.1775, -0.0176,  0.1114,  1.0446,  1.1737, -1.7449, -1.8739, -1.8267,  1.0622,  0.4264, -0.4325,  0.1443,  0.1470, 321174498629488687049605120.0000, 19689899999999999709313121757222141952.0000, 8500000000000000.0000, 48870000000000000000.0000, 46320000000000000000.0000, -0.6625,  0.4637
 7.5000, 10.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.6980, -0.5709, -0.9655, -0.7920, -0.6649,  0.2675,  0.3946,  0.5505,  0.3999,  0.5290, -0.1506, -0.0215,  0.9089,  1.0380, -1.9311, -2.0602, -1.8710,  1.0595,  0.8409,  0.0684,  0.1430,  0.1442, 202688673593399611983134720.0000, 11939299999999999954856038414661189632.0000, 8400000000000000.0000, 39170000000000000000.0000, 36650000000000000000.0000, -0.1144,  0.4565
 7.5000, 10.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.5528, -0.4258, -0.7426, -0.7250, -0.5979,  0.1898,  0.3169,  0.6304,  0.6091,  0.7382, -0.0213,  0.1077,  0.8935,  1.0226, -2.0952, -2.2243, -1.6349,  0.9148,  0.9887,  0.2805,  0.1426,  0.1420, 146681225191791776808042496.0000, 8339379999999999809193269494869393408.0000, 8266666666666667.0000, 33270000000000000000.0000, 30790000000000000000.0000,  0.0325,  0.4582
 7.5000, 10.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.3818, -0.2547, -0.5538, -0.5722, -0.4451,  0.1720,  0.2990,  0.6540,  0.5943,  0.7234, -0.0597,  0.0694,  0.6845,  0.8135, -2.4710, -2.6000, -1.4553,  0.7442,  0.9911,  0.4623,  0.1393,  0.1358, 121112714250130411216699392.0000, 6737520000000000448058599155387334656.0000, 8233333333333333.0000, 30450000000000000000.0000, 27980000000000000000.0000,  0.2089,  0.4636
 7.5000, 10.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.3525, -0.2255, -0.4958, -0.4045, -0.2775,  0.1433,  0.2703,  0.5238,  0.4194,  0.5484, -0.1044,  0.0246,  0.4434,  0.5724, -2.8519, -2.9809, -1.3070,  0.5478,  0.8373,  0.5140,  0.1336,  0.1278, 99461400359066426908082176.0000, 5405170000000000515066239965303144448.0000, 8166666666666667.0000, 27890000000000000000.0000, 25440000000000000000.0000,  0.2464,  0.4718
 7.5000, 32.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.2634, -1.1363, -1.4413, -0.8452, -0.7181,  0.1779,  0.3050,  0.0515,  0.0616,  0.1906,  0.0101,  0.1391,  1.0332,  1.1622, -1.7304, -1.8594, -1.6812,  1.0231,  0.4276, -0.4276,  0.1448,  0.1471, 63956216684131393866825728.0000, 3163279999999999791545247711669256192.0000, 7933333333333333.0000, 20790000000000000000.0000, 18410000000000000000.0000, -0.6666,  0.4697
 7.5000, 32.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.6677, -0.5406, -0.9395, -0.8035, -0.6764,  0.2719,  0.3989,  0.5931,  0.4020,  0.5311, -0.1911, -0.0621,  0.8843,  1.0133, -1.8984, -2.0274, -1.8382,  1.0754,  0.8642,  0.0866,  0.1434,  0.1445, 55210126582278480499572736.0000, 2674320000000000020333097816101486592.0000, 7866666666666667.0000, 19670000000000000000.0000, 17310000000000000000.0000, -0.0833,  0.4573
 7.5000, 32.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.4893, -0.3622, -0.7408, -0.7320, -0.6049,  0.2516,  0.3786,  0.7001,  0.5398,  0.6688, -0.1604, -0.0313,  0.8232,  0.9523, -2.0788, -2.2078, -1.7177,  0.9836,  0.9858,  0.2880,  0.1423,  0.1416, 55393934054315981493239808.0000, 2691880000000000003859075420225798144.0000, 7866666666666667.0000, 19830000000000000000.0000, 17470000000000000000.0000,  0.0952,  0.4574
 7.5000, 32.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.3266, -0.1995, -0.5873, -0.5805, -0.4535,  0.2606,  0.3877,  0.7166,  0.4787,  0.6077, -0.2380, -0.1089,  0.6032,  0.7322, -2.4649, -2.5939, -1.6188,  0.8412,  0.9666,  0.4643,  0.1378,  0.1337, 54901737990067273722757120.0000, 2673250000000000140001173814382690304.0000, 7866666666666667.0000, 19930000000000000000.0000, 17570000000000000000.0000,  0.2632,  0.4627
 7.5000, 32.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.3519, -0.2248, -0.5956, -0.3456, -0.2186,  0.2437,  0.3708,  0.4660,  0.1779,  0.3070, -0.2881, -0.1590,  0.3013,  0.4303, -2.9861, -3.1151, -1.4742,  0.5893,  0.6948,  0.4681,  0.1291,  0.1211, 54950825933352423198294016.0000, 2689329999999999963559136807123681280.0000, 7866666666666667.0000, 20200000000000000000.0000, 17840000000000000000.0000,  0.2474,  0.4722
 7.5000, 100.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.1291, -1.0020, -1.4340, -0.8383, -0.7112,  0.3050,  0.4320,  0.1714, -0.1276,  0.0014, -0.2990, -0.1699,  0.8443,  0.9733, -1.7472, -1.8762, -1.9433,  1.1433,  0.3957, -0.4350,  0.1439,  0.1468, 29610823700590083820224512.0000, 1218929999999999926448492295720271872.0000, 7466666666666667.0000, 13770000000000000000.0000, 11530000000000000000.0000, -0.5399,  0.4621
 7.5000, 100.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.5726, -0.4455, -0.9514, -0.7658, -0.6387,  0.3788,  0.5059,  0.6491,  0.1883,  0.3174, -0.4607, -0.3317,  0.6839,  0.8130, -1.9224, -2.0514, -2.0122,  1.1446,  0.8152,  0.0667,  0.1423,  0.1439, 35982573034985095679705088.0000, 1576430000000000078488711183856566272.0000, 7566666666666667.0000, 15570000000000000000.0000, 13300000000000000000.0000,  0.0103,  0.4558
 7.5000, 100.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.4156, -0.2885, -0.7540, -0.6469, -0.5198,  0.3383,  0.4654,  0.6888,  0.2462,  0.3753, -0.4426, -0.3136,  0.5427,  0.6717, -2.1572, -2.2862, -1.9045,  0.9853,  0.8608,  0.2358,  0.1401,  0.1393, 28030295987803515898560512.0000, 1146240000000000034646026594300198912.0000, 7433333333333333.0000, 13600000000000000000.0000, 11370000000000000000.0000,  0.1690,  0.4575
 7.5000, 100.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.3149, -0.1878, -0.6572, -0.4384, -0.3113,  0.3423,  0.4693,  0.5890,  0.0878,  0.2168, -0.5013, -0.3722,  0.2794,  0.4084, -2.6110, -2.7401, -1.7918,  0.7807,  0.7427,  0.3659,  0.1332,  0.1285, 31548685322332124624191488.0000, 1340640000000000051274799006902910976.0000, 7533333333333333.0000, 14640000000000000000.0000, 12380000000000000000.0000,  0.2777,  0.4655
 7.5000, 100.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.4137, -0.2866, -0.6973, -0.1581, -0.0311,  0.2836,  0.4107,  0.2204, -0.2812, -0.1522, -0.5017, -0.3726, -0.0599,  0.0691,    -inf,    -inf, -1.5904,  0.4417,  0.3740,  0.3307,  0.1208,  0.1119, 29224912360477346618146816.0000, 1222400000000000018326185097625075712.0000, 7466666666666667.0000, 14190000000000000000.0000, 11950000000000000000.0000,  0.1894,  0.4760
 8.0000,  1.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.5315, -1.4044, -1.7242, -0.8914, -0.7643,  0.1926,  0.3197, -0.1778,  0.3345,  0.4636,  0.5123,  0.6413,  1.5963,  1.7253, -1.6539, -1.7830, -1.8089,  1.0840,  0.5529, -0.4448,  0.1444,  0.1477, 42638610606724689178918912.0000, 61299500000000000431248118569255305216.0000, 24333333333333332.0000, 53370000000000000000.0000, 46070000000000000000.0000, -0.9421,  0.4624
 8.0000,  1.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -1.0069, -0.8798, -1.2650, -0.8349, -0.7078,  0.2581,  0.3851,  0.2825,  0.7029,  0.8319,  0.4204,  0.5494,  1.5133,  1.6423, -1.8740, -2.0030, -1.8497,  1.0930,  0.9399,  0.0414,  0.1434,  0.1449, 39981142596872986031030272.0000, 57322300000000004337285708930420310016.0000, 24300000000000000.0000, 53040000000000000000.0000, 45750000000000000000.0000, -0.4253,  0.4546
 8.0000,  1.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.8185, -0.6914, -1.1351, -0.7322, -0.6052,  0.3167,  0.4437,  0.3711,  0.6641,  0.7932,  0.2930,  0.4220,  1.3419,  1.4709, -2.1635, -2.2925, -1.8603,  1.0489,  0.9325,  0.1747,  0.1410,  0.1400, 38077119999999998607491072.0000, 54245999999999999772027495509104001024.0000, 24233333333333332.0000, 52290000000000000000.0000, 45020000000000000000.0000, -0.2340,  0.4574
 8.0000,  1.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.6653, -0.5382, -1.1135, -0.4815, -0.3544,  0.4483,  0.5753,  0.2853,  0.2007,  0.3297, -0.0847,  0.0444,  0.8451,  0.9742, -2.8096, -2.9386, -2.0332,  0.9298,  0.6091,  0.2169,  0.1301,  0.1246, 33112162863724111933210624.0000, 46036699999999999504639525738462052352.0000, 24033333333333332.0000, 49610000000000000000.0000, 42400000000000000000.0000, -0.0691,  0.4691
 8.0000,  1.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.5880, -0.4609, -1.0628, -0.1121,  0.0150,  0.4748,  0.6019,  0.0033, -0.7811, -0.6521, -0.7844, -0.6554, -0.1975, -0.0685,    -inf,    -inf, -1.9613,  0.5869,  0.0901,  0.1878,  0.1150,  0.1042, 27254592254592252603531264.0000, 36509800000000001748082366765537951744.0000, 23766666666666668.0000, 46000000000000000000.0000, 38870000000000000000.0000,  0.0183,  0.4793
 8.0000,  3.2000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.4769, -1.3498, -1.7104, -0.8916, -0.7646,  0.2335,  0.3605, -0.1261,  0.3009,  0.4300,  0.4270,  0.5561,  1.5521,  1.6812, -1.6700, -1.7990, -1.9258,  1.1251,  0.5365, -0.4383,  0.1441,  0.1476, 37428583978213815625973760.0000, 52189599999999998847931326467636461568.0000, 24066666666666668.0000, 49920000000000000000.0000, 42700000000000000000.0000, -0.8907,  0.4592
 8.0000,  3.2000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.9740, -0.8469, -1.2641, -0.8233, -0.6962,  0.2901,  0.4172,  0.3035,  0.6299,  0.7589,  0.3264,  0.4554,  1.4398,  1.5688, -1.9192, -2.0483, -1.9505,  1.1134,  0.8894,  0.0248,  0.1427,  0.1441, 30747872428144271653076992.0000, 41145899999999999620709806127221571584.0000, 23733333333333332.0000, 45900000000000000000.0000, 38780000000000000000.0000, -0.3927,  0.4542
 8.0000,  3.2000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.8097, -0.6826, -1.1236, -0.7091, -0.5820,  0.3139,  0.4409,  0.3577,  0.5723,  0.7013,  0.2145,  0.3436,  1.2375,  1.3665, -2.2253, -2.3544, -1.9253,  1.0230,  0.8637,  0.1470,  0.1398,  0.1387, 25782554866710875411054592.0000, 32940499999999999623296734362043678720.0000, 23366666666666668.0000, 42050000000000000000.0000, 35040000000000000000.0000, -0.2243,  0.4583
 8.0000,  3.2000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.6863, -0.5593, -1.0380, -0.3863, -0.2593,  0.3516,  0.4787,  0.1711,  0.0755,  0.2045, -0.0957,  0.0334,  0.6423,  0.7714, -2.9261, -3.0552, -2.0276,  0.7380,  0.4892,  0.1636,  0.1271,  0.1213, 19362633396917050502283264.0000, 22798500000000002030323442603872223232.0000, 22733333333333332.0000, 36570000000000000000.0000, 29750000000000000000.0000, -0.0881,  0.4711
 8.0000,  3.2000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.8381, -0.7110, -1.1101,  0.0316,  0.1587,  0.2720,  0.3991, -0.3835, -0.9144, -0.7853, -0.5309, -0.4019, -0.2905, -0.1614,    -inf,    -inf, -1.7254,  0.2404, -0.2385, -0.0219,  0.1046,  0.0928, 14420583749306708547076096.0000, 15471999999999999001142649204995260416.0000, 22066666666666668.0000, 31760000000000000000.0000, 25140000000000000000.0000, -0.2248,  0.4862
 8.0000, 10.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.4788, -1.3517, -1.6661, -0.8790, -0.7520,  0.1874,  0.3145, -0.1388,  0.2945,  0.4235,  0.4333,  0.5623,  1.4997,  1.6287, -1.6726, -1.8016, -1.8243,  1.0664,  0.5287, -0.4418,  0.1443,  0.1475, 17818652133562385264803840.0000, 19511299999999999757195087305422929920.0000, 22200000000000000.0000, 32710000000000000000.0000, 26050000000000000000.0000, -0.8907,  0.4609
